id,url
vha_0207V,https://www.hampton.va.gov/services/covid-19-vaccines.asp
vha_0231V,https://www.beckley.va.gov/services/covid-19-vaccines.asp
vha_0232V,https://www.beckley.va.gov/services/covid-19-vaccines.asp
vha_0315V,https://www.fayettevillenc.va.gov/services/covid-19-vaccines.asp
vha_0326V,https://www.westpalmbeach.va.gov/services/covid-19-vaccines.asp
vha_0337V,https://www.westpalmbeach.va.gov/services/covid-19-vaccines.asp
vha_0343V,https://www.fayettevillenc.va.gov/services/covid-19-vaccines.asp
vha_0704V,https://www.shreveport.va.gov/services/covid-19-vaccines.asp
vha_402,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402GA,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402GB,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402GC,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402GD,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402GE,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402GF,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402HB,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402HC,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402HL,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402QA,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_402QB,https://www.maine.va.gov/services/covid-19-vaccines.asp
vha_405,https://www.whiteriver.va.gov/services/covid-19-vaccines.asp
vha_405GA,https://www.whiteriver.va.gov/services/covid-19-vaccines.asp
vha_405GC,https://www.whiteriver.va.gov/services/covid-19-vaccines.asp
vha_405HA,https://www.whiteriver.va.gov/services/covid-19-vaccines.asp
vha_405HC,https://www.whiteriver.va.gov/services/covid-19-vaccines.asp
vha_405HE,https://www.whiteriver.va.gov/services/covid-19-vaccines.asp
vha_405HF,https://www.whiteriver.va.gov/services/covid-19-vaccines.asp
vha_405QB,https://www.whiteriver.va.gov/services/covid-19-vaccines.asp
vha_436,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436A4,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GA,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GB,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GC,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GD,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GF,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GH,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GI,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GK,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GL,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GM,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436GN,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436HC,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436QA,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436QB,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_436QC,https://www.montana.va.gov/services/covid-19-vaccines.asp
vha_437,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GA,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GB,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GC,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GD,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GE,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GF,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GI,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GJ,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GK,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_437GL,https://www.fargo.va.gov/services/covid-19-vaccines.asp
vha_438,https://www.siouxfalls.va.gov/services/covid-19-vaccines.asp
vha_438GA,https://www.siouxfalls.va.gov/services/covid-19-vaccines.asp
vha_438GC,https://www.siouxfalls.va.gov/services/covid-19-vaccines.asp
vha_438GD,https://www.siouxfalls.va.gov/services/covid-19-vaccines.asp
vha_438GE,https://www.siouxfalls.va.gov/services/covid-19-vaccines.asp
vha_438GF,https://www.siouxfalls.va.gov/services/covid-19-vaccines.asp
vha_442,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_442GB,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_442GC,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_442GD,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_442HK,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_442QA,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_442QB,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_442QD,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_442QE,https://www.cheyenne.va.gov/services/covid-19-vaccines.asp
vha_459,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459GA,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459GB,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459GC,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459GD,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459GE,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459GF,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459GG,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459GH,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459QA,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_459QB,https://www.hawaii.va.gov/services/covid-19-vaccines.asp
vha_460,https://www.wilmington.va.gov/services/covid-19-vaccines.asp
vha_460GA,https://www.wilmington.va.gov/services/covid-19-vaccines.asp
vha_460GC,https://www.wilmington.va.gov/services/covid-19-vaccines.asp
vha_460GD,https://www.wilmington.va.gov/services/covid-19-vaccines.asp
vha_460HE,https://www.wilmington.va.gov/services/covid-19-vaccines.asp
vha_460HG,https://www.wilmington.va.gov/services/covid-19-vaccines.asp
vha_463,https://www.alaska.va.gov/services/covid-19-vaccines.asp
vha_463GA,https://www.alaska.va.gov/services/covid-19-vaccines.asp
vha_463GB,https://www.alaska.va.gov/services/covid-19-vaccines.asp
vha_463GC,https://www.alaska.va.gov/services/covid-19-vaccines.asp
vha_463GD,https://www.alaska.va.gov/services/covid-19-vaccines.asp
vha_463GE,https://www.alaska.va.gov/services/covid-19-vaccines.asp
vha_501,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501G2,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GA,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GB,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GC,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GD,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GE,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GH,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GI,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GJ,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GK,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GM,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
vha_501GN,https://www.albuquerque.va.gov/services/covid-19-vaccines.asp
